Entry	Entry name	Status	Protein names	Gene names	Organism	Taxonomic lineage (ALL)	Taxonomic lineage IDs	Taxonomic lineage (CLASS)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SUBPHYLUM)	Taxonomic lineage (SUBCLASS)	Taxonomic lineage (KINGDOM)	Taxonomic lineage (SUPERPHYLUM)	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (SUPERCLASS)	Taxonomic lineage (SUBKINGDOM)	Proteomes
Q24630	T23O_DROSI	reviewed	Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Protein vermilion) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)	v GD16993	Drosophila simulans (Fruit fly)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Drosophilini, Drosophila (fruit flies), Sophophora, melanogaster group, melanogaster subgroup, Drosophila simulans (Fruit fly)	7240	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000000304: Chromosome x
E9FR69	IYD_DAPPU	reviewed	Iodotyrosine deiodinase (EC 1.21.1.1) (Halotyrosine dehalogenase)	DAPPUDRAFT_205384	Daphnia pulex (Water flea)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Crustacea, Branchiopoda, Phyllopoda, Diplostraca, Cladocera (water fleas), Anomopoda, Daphniidae, Daphnia (common water fleas), Daphnia pulex (Water flea)	6669	Branchiopoda	Arthropoda	Crustacea	Phyllopoda	Metazoa		Eukaryota			UP000000305: Unassembled WGS sequence
E2AXC7	BRCC3_CAMFO	reviewed	Lys-63-specific deubiquitinase BRCC36 (EC 3.4.19.-)	BRCC3 BRCC36 EAG_15736	Camponotus floridanus (Florida carpenter ant)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Hymenoptera, Apocrita (wasps, ants, and bees), Aculeata, Formicoidea, Formicidae, Formicinae, Camponotini, Camponotus (carpenter ants), Camponotus floridanus (Florida carpenter ant)	104421	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000000311: Unassembled WGS sequence
A3KNW0	PLD6_DANRE	reviewed	Mitochondrial cardiolipin hydrolase (EC 3.1.-.-) (Choline phosphatase 6) (Mitochondrial phospholipase) (MitoPLD) (EC 3.1.4.-) (Phosphatidylcholine-hydrolyzing phospholipase D6) (Phospholipase D6) (PLD 6)	pld6 zgc:162591	Danio rerio (Zebrafish) (Brachydanio rerio)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Cypriniphysae, Cypriniformes (carps and others), Cyprinoidei, Danionidae, Danioninae, Danio, Danio rerio (Zebrafish) (Brachydanio rerio)	7955	Actinopteri	Chordata	Craniata	Neopterygii	Metazoa		Eukaryota	Actinopterygii		UP000000437: Chromosome 1
Q5ZJL5	PURA2_CHICK	reviewed	Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)	ADSS2 ADSS RCJMB04_17e23	Gallus gallus (Chicken)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Galloanserae, Galliformes, Phasianidae (turkeys), Phasianinae, Gallus, Gallus gallus (Chicken)	9031	Aves	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000000539: Unplaced
Q0VBU9	PLPP4_MOUSE	reviewed	Phospholipid phosphatase 4 (EC 3.1.3.4) (EC 3.1.3.81)	Plpp4	Mus musculus (Mouse)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Myomorpha (mice and others), Muroidea, Muridae, Murinae, Mus, Mus, Mus musculus (Mouse)	10090	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000000589: Chromosome 7
E3XA68	NNRE_ANODA	reviewed	NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)	AND_001150	Anopheles darlingi (Mosquito)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Nematocera, Culicomorpha, Culicoidea, Culicidae (mosquitos), Anophelinae, Anopheles, Nyssorhynchus, argyritarsis section, argyritarsis series, darlingi group, Anopheles darlingi (Mosquito)	43151	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000000673: Unassembled WGS sequence
M3XWH1	FCG3A_MUSPF	reviewed	Low affinity immunoglobulin gamma Fc region receptor III-A (IgG Fc receptor III-A) (Fc-gamma RIII-alpha) (FcgammaRIIIA) (CD antigen CD16a)	FCGR3A	Mustela putorius furo (European domestic ferret) (Mustela furo)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Carnivora, Caniformia, Mustelidae (weasel, mink, badger, martens and others), Mustelinae, Mustela, Mustela putorius (European polecat), Mustela putorius furo (European domestic ferret) (Mustela furo)	9669	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000000715: Unassembled WGS sequence
Q9W148	URI_DROME	reviewed	Unconventional prefoldin RPB5 interactor-like protein	uri ori CG11416	Drosophila melanogaster (Fruit fly)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Drosophilini, Drosophila (fruit flies), Sophophora, melanogaster group, melanogaster subgroup, Drosophila melanogaster (Fruit fly)	7227	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000000803: Chromosome 2R
H2MTR9	ADIP_ORYLA	reviewed	Afadin- and alpha-actinin-binding protein (ADIP) (Afadin DIL domain-interacting protein) (SSX2-interacting protein)	ssx2ip	Oryzias latipes (Japanese rice fish) (Japanese killifish)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Ovalentaria, Atherinomorphae, Beloniformes (medakas, needlefish and others), Adrianichthyoidei, Adrianichthyidae, Oryziinae (medakas), Oryzias, Oryzias latipes (Japanese rice fish) (Japanese killifish)	8090	Actinopteri	Chordata	Craniata	Neopterygii	Metazoa		Eukaryota	Actinopterygii		UP000001038: Unplaced, UP000265180: Chromosome 9, UP000265200: Chromosome 9
